id,en,fr,es
child-growth.yourChild,your child,votre enfant,
child-growth.growthTitle,Growth,Évolution,
child-growth.growthTitleNamed,{name}'s Growth,Évolution {of}{name},
child-growth.rbSub,"Where you were, where you are — the profile remembers, so you can see how far you've come.","Où vous étiez, où vous en êtes — le profil s'en souvient, pour voir tout le chemin parcouru.",
child-growth.rbWins,wins in the journal,victoires au journal,
child-growth.rbCheckins1,check-in saved,bilan enregistré,
child-growth.rbCheckinsN,check-ins saved,bilans enregistrés,
child-growth.rbMoments,story moments,moments de l'histoire,
child-growth.gateText,Create your child's passport to start the growth story.,Créez le passeport de votre enfant pour commencer l'histoire de son évolution.,
child-growth.gateCta,Start the passport →,Commencer le passeport →,
child-growth.devToday,Where things stand today,Où en sont les choses aujourd'hui,
child-growth.devTodayNamed,Where {name} stands today,Où en est {name} aujourd'hui,
child-growth.editInPassport,Edit in passport →,Modifier dans le passeport →,
child-growth.thenVsNow,Then vs now,Avant et maintenant,
child-growth.whatChanged,What changed,Ce qui a changé,
child-growth.sinceDate,since {date},depuis le {date},
child-growth.sinceCheckin,since your check-in on {date},depuis votre bilan du {date},
child-growth.cardNames.Communication,Communication,Communication,
child-growth.cardNames.Social interaction,Social interaction,Interactions sociales,
child-growth.cardNames.Sensory profile,Sensory profile,Profil sensoriel,
child-growth.cardNames.Daily living,Daily living,Vie quotidienne,
child-growth.cardNames.Motor skills,Motor skills,Motricité,
child-growth.cardNames.Emotional regulation,Emotional regulation,Régulation émotionnelle,
child-growth.cardNames.Interests & motivators,Interests & motivators,Intérêts et motivations,
child-growth.labCanDo,Can do,Réussit déjà,
child-growth.labWorkingOn,Working on,On y travaille,
child-growth.labOnTrack,On track,En bonne voie,
child-growth.labWhatHelps,What helps,Ce qui aide,
child-growth.labStrengths,Strengths,Forces,
child-growth.labTriggers,Triggers,Déclencheurs,
child-growth.labLoves,Loves,Adore,
child-growth.labAvoid,Things to avoid,À éviter,
child-growth.notRecorded,Not recorded yet,Rien de noté pour l'instant,
child-growth.addInPassport,Add in passport →,Ajouter dans le passeport →,
child-growth.seeInWheel,See in Support Wheel,Voir dans la roue de soutien,
child-growth.canVerbal,Communicates verbally,Communique verbalement,
child-growth.means.Words,Uses words,Utilise des mots,
child-growth.means.Sentences,Uses sentences,Utilise des phrases,
child-growth.means.Sounds,Uses sounds,Utilise des sons,
child-growth.means.Pictures (PECS),Uses picture cards,Utilise des pictogrammes,
child-growth.means.Sign language,Uses sign language,Utilise la langue des signes,
child-growth.means.Device / AAC app,Uses an AAC device,Utilise un appareil de CAA,
child-growth.expressReliably,Expresses needs reliably,Exprime ses besoins de façon fiable,
child-growth.expressSometimes,Expresses needs sometimes,Exprime parfois ses besoins,
child-growth.workSpoken,Building spoken communication,Développer la communication orale,
child-growth.commCh.Requesting,Requesting things,Demander des choses,
child-growth.commCh.Conversation,Back-and-forth conversation,Conversation à tour de rôle,
child-growth.commCh.Question Answering,Answering questions,Répondre aux questions,
child-growth.commCh.Emotional Expression,Putting feelings into words,Mettre des mots sur ses émotions,
child-growth.commCh.Social Communication,Social communication,Communication sociale,
child-growth.workExpressing,Expressing needs,Exprimer ses besoins,
child-growth.sumExpresses,expresses needs {v},exprime ses besoins : {v},
child-growth.canPeersInterest,Shows interest in other children,S'intéresse aux autres enfants,
child-growth.canPlaysWith,Plays with peers,Joue avec ses pairs,
child-growth.canPlaysAlongside,Plays alongside others,Joue à côté des autres,
child-growth.canFollows,Follows familiar instructions,Suit les consignes familières,
child-growth.workConnecting,Connecting with other children,Créer des liens avec les autres enfants,
child-growth.workBackForth,Back-and-forth play,Jeu à tour de rôle,
child-growth.workFollowing,Following instructions,Suivre les consignes,
child-growth.sumInterested,interested in peers,s'intéresse aux pairs,
child-growth.playsWith,plays with others,joue avec les autres,
child-growth.playsAlongside,plays alongside,joue en parallèle,
child-growth.playsIndep,plays independently,joue de son côté,
child-growth.senses.auditory,Sound,Sons,
child-growth.senses.visual,Sight,Vue,
child-growth.senses.tactile,Touch,Toucher,
child-growth.senses.oral,Taste & mouth,Goût et bouche,
child-growth.senses.smell,Smell,Odorat,
child-growth.senses.movement,Movement,Mouvement,
child-growth.senses.body,Body awareness,Conscience du corps,
child-growth.badgeComfortable,Comfortable,À l'aise,
child-growth.badgeSeeking,Seeking,Recherche,
child-growth.badgeSensitive,Sensitive,Sensible,
child-growth.sumSensitive,sensitive to {list},sensibilités : {list},
child-growth.sumSeeks,seeks {list},recherche : {list},
child-growth.shortJoin, & , et ,
child-growth.noConcerns,No concerns flagged,Aucune préoccupation signalée,
child-growth.daily.eating,Eating,Alimentation,
child-growth.daily.dressing,Dressing,Habillage,
child-growth.daily.toileting,Toileting,Propreté,
child-growth.daily.sleep,Sleep,Sommeil,
child-growth.daily.safety,Safety,Sécurité,
child-growth.sumIndep,{x} independent,{x} autonome,
child-growth.sumWithSupport,{x} with support,{x} avec soutien,
child-growth.dietaryNeeds,Dietary needs: {v},Besoins alimentaires : {v},
child-growth.grossOnTrack,Gross motor on track,Motricité globale en bonne voie,
child-growth.fineOnTrack,Fine motor on track,Motricité fine en bonne voie,
child-growth.sumGrossSupport,gross motor support,soutien en motricité globale,
child-growth.sumGrossStrong,strong gross motor,motricité globale solide,
child-growth.sumFineSupport,fine motor support,soutien en motricité fine,
child-growth.sumFineStrong,strong fine motor,motricité fine solide,
child-growth.emo.meltdowns,Big reactions / meltdowns,Grosses réactions / crises,
child-growth.emo.emotional,Regulating emotions,Réguler les émotions,
child-growth.emo.anxiety,Anxiety,Anxiété,
child-growth.emo.rigidity,Coping with change,Composer avec les changements,
child-growth.emo.aggression,Aggression,Agressivité,
child-growth.emo.selfInjury,Self-injury,Automutilation,
child-growth.emo.repetitive,Repetitive behaviours,Comportements répétitifs,
child-growth.emo.defiance,Following directions,Suivre les consignes,
child-growth.emo.hyperactivity,Focus and impulsivity,Concentration et impulsivité,
child-growth.emo.elopement,Safety / flight risk,Sécurité / risque de fugue,
child-growth.calmSettled,Generally calm and settled,Généralement calme et stable,
child-growth.sumSettled,Generally settled,Généralement stable,
child-growth.sumBigReactions,Working on big reactions,On travaille les grosses réactions,
child-growth.checkinToast,Check-in recorded — then-vs-now just updated,Bilan enregistré — la comparaison avant-maintenant est à jour,
child-growth.histTitle,{name}'s history is safely recording ✦,L'historique {of}{name} s'enregistre en toute sécurité ✦,
child-growth.histMsg,"{n} check-ins saved. Then-vs-now comparisons and the what-changed feed are part of the monthly plans — nothing is lost, it unlocks the moment you upgrade.","{n} bilans enregistrés. Les comparaisons avant-maintenant et le fil « ce qui a changé » font partie des forfaits mensuels — rien n'est perdu, tout se débloque dès que vous passez à un forfait.",
child-growth.histCta,Unlock the history,Débloquer l'historique,
child-growth.noData,No data,Sans données,
child-growth.lessSupport,✦ less support needed,✦ moins de soutien requis,
child-growth.moreSupport,needs more right now,plus de soutien requis,
child-growth.trendCap,"Bands come from the same wheel engine as everywhere else — tap a row to explore. ""Needs more right now"" isn't a setback; it's the profile getting more honest.",Les niveaux viennent du même moteur de roue que partout ailleurs — touchez une ligne pour explorer. « Plus de soutien requis » n'est pas un recul; c'est le profil qui devient plus honnête.,
child-growth.seedLead,Today became {name}'s baseline. ✦,Aujourd'hui devient le point de départ {of}{name}. ✦,
child-growth.seedBody,"The profile now remembers where you started — after the next passport update, this turns into a then-vs-now picture of every area.","Le profil se souvient maintenant d'où vous êtes partis — après la prochaine mise à jour du passeport, ceci deviendra un portrait avant-maintenant de chaque domaine.",
child-growth.seedSetup,"(If nothing appears after updating, run <b>snapshots_setup.sql</b> in Supabase once.)","(Si rien n'apparaît après une mise à jour, exécutez <b>snapshots_setup.sql</b> une fois dans Supabase.)",
child-growth.chImproved,✦ Improvements to celebrate,✦ Améliorations à célébrer,
child-growth.chFlagged,Newly flagged — worth a look,Nouvellement signalé — un coup d'œil s'impose,
child-growth.chUpdated,Updated,Mis à jour,
child-growth.winsJournal,The wins journal,Le journal des victoires,
child-growth.grjSub,Tiny victories add up — future you will want to read these.,"Les petites victoires s'additionnent — un jour, vous aurez envie de les relire.",
child-growth.grjSubNamed,Tiny victories add up — the story of {name} you'll want to reread.,Les petites victoires s'additionnent — l'histoire {of}{name} que vous voudrez relire.,
child-growth.winsAria,Wins over the last 7 days,Victoires des 7 derniers jours,
child-growth.saveWin,✦ Save win,✦ Enregistrer,
child-growth.prompts.0,Something that went well today…,Une chose qui s'est bien passée aujourd'hui…,
child-growth.prompts.1,What made you smile today?,Qu'est-ce qui vous a fait sourire aujourd'hui?,
child-growth.prompts.2,A tiny step counts — what was it?,Un tout petit pas compte — lequel?,
child-growth.prompts.3,What went better than expected?,Qu'est-ce qui s'est mieux passé que prévu?,
child-growth.prompts.4,What did {name} try for the first time?,Qu'est-ce que {name} a essayé pour la première fois?,
child-growth.prompts.5,A calm moment worth remembering?,Un moment calme à retenir?,
child-growth.winsEmpty,"The journal is waiting for its first entry — even ""tried a new food"" counts. ✦",Le journal attend sa première entrée — même « a goûté un nouvel aliment » compte. ✦,
child-growth.groupToday,Today,Aujourd'hui,
child-growth.groupYesterday,Yesterday,Hier,
child-growth.groupThisWeek,This week,Cette semaine,
child-growth.earlier,Earlier,Plus tôt,
child-growth.delWinAria,Delete win,Supprimer la victoire,
child-growth.confirmDelWin,Remove this win?,Retirer cette victoire?,
child-growth.justNow,Just now,À l'instant,
child-growth.winSavedToast,Win saved to the journal ✦,Victoire enregistrée dans le journal ✦,
child-growth.streakWeeks,✦ {n} weeks in a row,✦ {n} semaines de suite,
child-growth.streakRoll,✦ On a roll this week,✦ Sur une lancée cette semaine,
child-growth.storyTitle,The story,L'histoire,
child-growth.storyTitleNamed,{name}'s story,L'histoire {of}{name},
child-growth.addMoment,Add a moment,Ajouter un moment,
child-growth.catNote,Note,Note,
child-growth.catMedical,Medical,Médical,
child-growth.catEducation,Education,Éducation,
child-growth.catTherapy,Therapy,Thérapie,
child-growth.catAssessment,Assessment,Évaluation,
child-growth.catFunding,Funding,Financement,
child-growth.catMilestone,Milestone,Jalon,
child-growth.catDiagnosis,Diagnosis,Diagnostic,
child-growth.phWhatHappened,What happened?,Que s'est-il passé?,
child-growth.phAddNote,Add a note (optional),Ajouter une note (facultatif),
child-growth.cancel,Cancel,Annuler,
child-growth.save,Save,Enregistrer,
child-growth.saving,Saving…,Enregistrement…,
